,,cCpu0TIME,cCpu1TIME,cCpu2TIME,cCpu3TIME,cCpu4TIME,cCpu5TIME,cCpu6TIME,cCpu7TIME,cCpuTime,cCpuTimeKernelMode,cCpuTimeUserMode,cDiskReadBytes,cDiskSectorIO,cDiskWriteBytes,cId,cMemoryMaxUsed,cMemoryUsed,cMetricType,cNetworkBytesRecvd,cNetworkBytesSent,cNumProcesses,cNumProcessors,currentTime,pMetricType,vCpuContextSwitches,vCpuIdleTime,vCpuMhz,vCpuNice,vCpuSteal,vCpuTime,vCpuTimeIOWait,vCpuTimeIntSrvc,vCpuTimeKernelMode,vCpuTimeSoftIntSrvc,vCpuTimeUserMode,vCpuType,vDiskMergedReads,vDiskMergedWrites,vDiskReadTime,vDiskSectorReads,vDiskSectorWrites,vDiskSuccessfulReads,vDiskSuccessfulWrites,vDiskWriteTime,vId,vLoadAvg,vMemoryBuffers,vMemoryCached,vMemoryFree,vMemoryTotal,vMetricType,vNetworkBytesRecvd,vNetworkBytesSent
2018_12_05__02_43_55.json,33,655619815,696020568,2559824233,33510683361,693183508,684115711,1853274420,1188481652,41799652943,475,3647,0,0,186494976,f9bd510f3f01,2819813376,2013798400,Container level,25960534,110249,3,8,1543977835,Process level,1341857,1445526,2300.108,0,5339,88089,4839,0,9079,12,79010,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4293,29080,771463,9547184,9203,41787,5207756,unavailable,0.52,34920,475340,30210460,32939556,VM level,25960534,110249
2018_12_05__02_43_57.json,35,677989388,713645494,2580051285,34597250685,714990387,700458681,1872256316,1213113172,43022552724,487,3758,0,0,186499072,f9bd510f3f01,2819813376,2009767936,Container level,25960534,110249,3,8,1543977837,Process level,1343084,1446269,2300.108,0,5339,88210,4839,0,9090,12,79120,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4321,29080,771463,9547456,9203,41793,5207756,unavailable,0.56,34920,475340,30209996,32939556,VM level,25960534,110249
2018_12_05__02_43_58.json,36,697760415,735949521,2600627234,35677128619,729722974,718476916,1894681783,1237592690,44245864915,497,3868,0,0,186503168,f9bd510f3f01,2819813376,2009739264,Container level,25960534,110249,3,8,1543977838,Process level,1344314,1447015,2300.108,0,5339,88332,4839,0,9102,12,79230,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4321,29080,771463,9547464,9203,41794,5207756,unavailable,0.56,34920,475348,30210432,32939556,VM level,25960534,110249
2018_12_05__02_43_59.json,37,718615905,760959973,2621399873,36761131025,744650831,741128335,1911233118,1256952070,45469530921,506,3980,0,0,186507264,f9bd510f3f01,2819813376,2008199168,Container level,25960534,110249,3,8,1543977839,Process level,1345522,1447759,2300.108,0,5339,88453,4839,0,9110,12,79343,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4321,29080,771463,9547472,9203,41795,5207756,unavailable,0.56,34920,475352,30210252,32939556,VM level,25960534,110249
2018_12_05__02_44_00.json,38,737149148,783236335,2641111424,37838111909,768990844,758030274,1929102959,1284607574,46697068665,515,4092,0,0,186511360,f9bd510f3f01,2819813376,2011197440,Container level,25960534,110249,3,8,1543977840,Process level,1346812,1448504,2300.108,0,5339,88575,4839,0,9121,12,79454,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4321,29080,771463,9547480,9203,41796,5207756,unavailable,0.56,34920,475356,30210612,32939556,VM level,25960534,110249
2018_12_05__02_44_01.json,39,756473847,804773620,2658917589,38919067784,789130492,778851822,1949228454,1311717073,47921611789,525,4203,0,0,186515456,f9bd510f3f01,2819813376,2011009024,Container level,25960534,110249,3,8,1543977841,Process level,1348031,1449248,2300.108,0,5340,88696,4839,0,9130,12,79566,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4321,29080,771463,9547488,9203,41797,5207756,unavailable,0.56,34920,475360,30210428,32939556,VM level,25960534,110249
2018_12_05__02_44_02.json,40,777150308,825930604,2676925057,39992787952,814398849,797047140,1977729839,1330981418,49145977720,534,4314,0,0,186519552,f9bd510f3f01,2819813376,2012614656,Container level,25960534,110249,3,8,1543977842,Process level,1349323,1449993,2300.108,0,5340,88817,4839,0,9139,12,79678,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4325,29080,771463,9547544,9203,41800,5207756,unavailable,0.84,34920,475364,30210832,32939556,VM level,25960534,110249
2018_12_05__02_44_03.json,41,797863588,845040223,2693570354,41068925258,837218354,820811428,1998853503,1360999618,50376516710,545,4426,0,0,186523648,f9bd510f3f01,2819813376,2009780224,Container level,25960534,110249,3,8,1543977843,Process level,1350543,1450739,2300.108,0,5340,88938,4839,0,9149,12,79789,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4325,29080,771463,9547552,9203,41801,5207756,unavailable,0.84,34920,475364,30210136,32939556,VM level,25960534,110249
2018_12_05__02_44_04.json,42,816750375,871372077,2715245865,42140510162,854425893,841216520,2021478330,1388355675,51603199944,554,4538,0,0,186527744,f9bd510f3f01,2819813376,2012708864,Container level,25960534,110249,3,8,1543977844,Process level,1351775,1451484,2300.108,0,5340,89062,4839,0,9160,12,79902,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4325,29080,771463,9547560,9203,41802,5207756,unavailable,0.84,34920,475372,30211240,32939556,VM level,25960534,110249
2018_12_05__02_44_05.json,43,834650033,891320974,2736387171,43220796993,873799926,863070763,2041785349,1412751652,52831463557,563,4649,0,0,186531840,f9bd510f3f01,2819813376,2009157632,Container level,25960534,110249,3,8,1543977845,Process level,1352984,1452229,2300.108,0,5340,89182,4839,0,9170,12,80012,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,384,4325,29080,771463,9547568,9203,41803,5207756,unavailable,0.84,34920,475376,30210004,32939556,VM level,25960534,110249
