,,cCpu0TIME,cCpu1TIME,cCpu2TIME,cCpu3TIME,cCpu4TIME,cCpu5TIME,cCpu6TIME,cCpu7TIME,cCpuTime,cCpuTimeKernelMode,cCpuTimeUserMode,cDiskReadBytes,cDiskSectorIO,cDiskWriteBytes,cId,cMemoryMaxUsed,cMemoryUsed,cMetricType,cNetworkBytesRecvd,cNetworkBytesSent,cNumProcesses,cNumProcessors,currentTime,pMetricType,vCpuContextSwitches,vCpuIdleTime,vCpuMhz,vCpuNice,vCpuSteal,vCpuTime,vCpuTimeIOWait,vCpuTimeIntSrvc,vCpuTimeKernelMode,vCpuTimeSoftIntSrvc,vCpuTimeUserMode,vCpuType,vDiskMergedReads,vDiskMergedWrites,vDiskReadTime,vDiskSectorReads,vDiskSectorWrites,vDiskSuccessfulReads,vDiskSuccessfulWrites,vDiskWriteTime,vId,vLoadAvg,vMemoryBuffers,vMemoryCached,vMemoryFree,vMemoryTotal,vMetricType,vNetworkBytesRecvd,vNetworkBytesSent
2018_12_12__19_29_18.json,44,9743450010,12272351598,13395981113,33447619793,12652656187,12862452723,9682179905,4572632527,108537627344,848,9863,0,0,186626048,6bad1904105c,3852288000,3847245824,Container level,25962609,94160,11,8,1544642958,Process level,1154255,560165,2300.105,585,4806,161264,2753,0,4721,13,156543,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977120,51488,7817,156384,unavailable,2.45,45484,5845224,22995568,32939552,VM level,25962609,94160
2018_12_12__19_29_19.json,45,10262907417,12346434845,13804881563,33544918766,13240331038,13563018540,10287393419,5156357769,112136167868,864,10199,0,0,186630144,6bad1904105c,3852484608,3846492160,Container level,25962609,94160,11,8,1544642959,Process level,1156397,560749,2300.105,585,4806,161615,2753,0,4737,13,156878,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977128,51488,7818,156384,unavailable,2.45,45484,5845232,22995100,32939552,VM level,25962609,94160
2018_12_12__19_29_20.json,46,10446993575,12416628358,14436391324,34077577954,13830832337,14463224763,10756793456,5452436320,115791458165,881,10540,0,0,186634240,6bad1904105c,3852484608,3847352320,Container level,25962609,94160,11,8,1544642960,Process level,1158697,561339,2300.105,585,4806,161972,2753,0,4754,13,157218,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977136,51488,7819,156384,unavailable,2.49,45484,5845240,22995592,32939552,VM level,25962609,94160
2018_12_12__19_29_21.json,47,10995244239,12915235318,15031829683,34672740505,14145557566,15017183405,10946330454,5768623493,119403636135,901,10878,0,0,186638336,6bad1904105c,3852484608,3848564736,Container level,25962609,94160,11,8,1544642961,Process level,1160853,561933,2300.105,585,4806,162332,2753,0,4773,13,157559,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977144,51488,7820,156384,unavailable,2.49,45484,5845248,22994564,32939552,VM level,25962609,94160
2018_12_12__19_29_23.json,49,11605094090,13530609463,15381108512,35203650571,14421592533,15203211480,11433204394,6371619594,123060592094,917,11222,0,0,186642432,6bad1904105c,3852484608,3848237056,Container level,25962609,94160,11,8,1544642963,Process level,1163221,562512,2300.105,585,4806,162693,2753,0,4791,13,157902,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977248,51488,7828,156384,unavailable,2.49,45484,5845256,22994964,32939552,VM level,25962609,94160
2018_12_12__19_29_24.json,50,11982301967,14102930754,15639290785,35412028329,15005463965,15657814083,12056681424,7003998416,126770059498,934,11568,0,0,186646528,6bad1904105c,3852484608,3848822784,Container level,25962609,94160,11,8,1544642964,Process level,1165438,563088,2300.105,585,4807,163056,2753,0,4808,13,158248,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977256,51488,7829,156384,unavailable,2.49,45484,5845264,22994996,32939552,VM level,25962609,94160
2018_12_12__19_29_25.json,51,12231090954,14539209588,15875963249,35854198798,15574437805,16241931668,12662424678,7576440533,130484822536,958,11915,0,0,186650624,6bad1904105c,3852484608,3847262208,Container level,25962609,94160,11,8,1544642965,Process level,1167580,563661,2300.105,585,4807,163429,2753,0,4829,13,158600,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6829,102968,11207599,977264,51488,7830,156384,unavailable,2.49,45484,5845272,22994828,32939552,VM level,25962609,94160
2018_12_12__19_29_26.json,52,12732296126,14740480528,16234457296,36447245235,16102765026,16825956620,13227282325,7882836353,134103756302,973,12254,0,0,186654720,6bad1904105c,3852484608,3846893568,Container level,25962609,94160,11,8,1544642966,Process level,1169879,564252,2300.105,585,4807,163782,2753,0,4847,13,158935,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6850,102968,11207599,977456,51488,7833,156384,unavailable,2.53,45492,5845272,22995396,32939552,VM level,25962609,94160
2018_12_12__19_29_27.json,53,13324063699,15187850599,16815820087,37052980001,16310129755,17367730099,13587809019,8173610321,137731223945,992,12592,0,0,186658816,6bad1904105c,3852484608,3849805824,Container level,25962609,94160,11,8,1544642967,Process level,1172062,564837,2300.105,585,4807,164138,2753,0,4865,13,159273,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6850,102968,11207599,977464,51488,7834,156384,unavailable,2.53,45492,5845288,22995368,32939552,VM level,25962609,94160
2018_12_12__19_29_29.json,55,13899720610,15756057544,17409486754,37479799745,16705710166,17609644840,13832823990,8716514964,141310635853,1012,12926,0,0,186662912,6bad1904105c,3852484608,3850211328,Container level,25962609,94160,11,8,1544642969,Process level,1174210,565420,2300.105,585,4808,164497,2753,0,4885,13,159612,Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz,437,6853,102968,11207599,977656,51488,7850,156384,unavailable,2.53,45492,5845296,22994368,32939552,VM level,25962609,94160
